,OrigCodeNew,DestCodeNew,TotalNoIntra,Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other,vi1_origpop,vi2_origsal,wj1_destpop,wj2_destsal,offset,Dist,unconstrainedEst1,log_vi1_origpop,log_wj2_destsal,log_Dist,unconstrainedEst2,fitted,O_i,D_j,mu_i,prodsimest1,wj3_destsalScenario,prodsimest2,Ai1,A_i,prodsimest3,A_i2,prodsimest4
10,E09000002,E09000006,66,Barking and Dagenham,00AB,Bromley,00AF,66,0,7,10,0,0,45,0,4,0,0,0,56000,16200,164000,19100,0.0,19954.35099344796,428,10.933106969717288,9.857443614034723,9.901202493448443,294,294.2517737991236,5675,5266,7.7247160904139385,385.0,19100,385.0,0.16989690749637992,0.39887397985777673,385.0,0.39887397985777673,385.0
11,E09000002,E09000007,1500,Barking and Dagenham,00AB,Camden,00AG,1500,0,801,387,24,0,216,19,42,3,5,3,56000,16200,101000,19800,0.0,20157.230195622356,435,10.933106969717288,9.893437216682628,9.911318321656124,308,307.80979585246604,5675,28270,7.7247160904139385,405.0,19800,405.0,0.17881745442473204,0.39887397985777673,405.0,0.39887397985777673,405.0
12,E09000003,E09000001,7709,Barnet,00AC,City of London,00AA,7709,0,4948,1779,133,16,620,59,111,25,10,8,159000,18700,12000,38300,0.0,13935.670950321804,4995,11.976659481202367,10.553205175168737,9.542207087326863,9587,9586.868891798738,25462,40725,8.751320864064866,9854.0,38300,9854.0,1.5594743150250197,0.24817489500949208,9854.0,0.2419180133737142,9606.0
13,E09000003,E09000002,96,Barnet,00AC,Barking and Dagenham,00AB,96,0,9,3,0,0,74,3,4,0,3,0,159000,18700,56000,16200,0.0,25100.413806902558,651,11.976659481202367,9.692766521220477,10.130639611314756,1015,1014.7220866528784,25462,674,8.751320864064866,461.0,25000,1120.0,0.1772281325958109,0.24817489500949208,461.0,0.2419180133737142,1092.0
14,E09000003,E09000004,34,Barnet,00AC,Bexley,00AD,34,0,3,8,0,0,23,0,0,0,0,0,159000,18700,112000,18300,0.0,29923.534137850245,518,11.976659481202367,9.814656338829511,10.306400544693401,968,968.4423236151732,25462,3389,8.751320864064866,401.0,18300,401.0,0.06347495008872266,0.24817489500949208,401.0,0.2419180133737142,391.0
15,E09000003,E09000005,5467,Barnet,00AC,Brent,00AE,5467,0,290,122,869,14,3541,244,57,68,245,17,159000,18700,127000,16500,0.0,7543.283645196364,7344,11.976659481202367,9.711115659888671,8.928412862911225,5683,5683.010621902144,25462,7356,8.751320864064866,6859.0,16500,6859.0,1.0855222080640874,0.24817489500949208,6859.0,0.2419180133737142,6687.0
16,E09000003,E09000006,76,Barnet,00AC,Bromley,00AF,76,0,14,14,3,0,39,0,0,0,6,0,159000,18700,164000,19100,0.0,32662.258221615997,453,11.976659481202367,9.857443614034723,10.393975507478194,919,918.6170082170537,25462,5266,8.751320864064866,361.0,19100,361.0,0.0570663071635106,0.24817489500949208,361.0,0.2419180133737142,352.0
17,E09000003,E09000007,12080,Barnet,00AC,Camden,00AG,12080,0,5741,989,884,25,3593,287,197,180,167,17,159000,18700,101000,19800,0.0,8560.390051204864,6843,11.976659481202367,9.893437216682628,9.054901034827195,6422,6421.907767817149,25462,28270,8.751320864064866,7525.0,19800,7525.0,1.1908659156906864,0.24817489500949208,7525.0,0.2419180133737142,7335.0
18,E09000004,E09000001,6580,Bexley,00AD,City of London,00AA,6580,0,60,5697,45,6,515,54,167,20,10,6,112000,18300,12000,38300,0.0,17359.90868226907,2267,11.626254150277234,10.553205175168737,9.761918727962547,3803,3803.160877946624,14686,40725,8.709540696700092,5811.0,38300,5811.0,0.9587900073671883,0.4126690903040101,5811.0,0.2967384579169728,4178.0
19,E09000004,E09000002,362,Bexley,00AD,Barking and Dagenham,00AB,362,0,3,11,15,0,285,16,13,0,8,11,112000,18300,56000,16200,0.0,9264.88700157794,3367,11.626254150277234,9.692766521220477,9.133986942377186,2231,2231.3332021269835,14686,674,8.709540696700092,4020.0,25000,9757.0,1.609990098978187,0.4126690903040101,4020.0,0.2967384579169728,7016.0
20,E09000004,E09000003,132,Bexley,00AD,Barnet,00AC,132,0,3,57,6,0,60,3,3,0,0,0,112000,18300,159000,18700,0.0,29923.534137850245,373,11.626254150277234,9.836278802842678,10.306400544693401,542,542.4416282289792,14686,8122,8.709540696700092,402.0,18700,402.0,0.0663431751782792,0.4126690903040101,402.0,0.2967384579169728,289.0
21,E09000004,E09000005,144,Bexley,00AD,Brent,00AE,144,0,12,57,6,0,62,3,4,0,0,0,112000,18300,127000,16500,0.0,30474.823420251963,317,11.626254150277234,9.711115659888671,10.324656160083363,430,430.182520438394,14686,7356,8.709540696700092,299.0,16500,299.0,0.049333073194610444,0.4126690903040101,299.0,0.2967384579169728,215.0
22,E09000004,E09000006,4998,Bexley,00AD,Bromley,00AF,4998,0,13,164,645,10,3699,288,88,40,45,6,112000,18300,164000,19100,0.0,11733.6206399784,2475,11.626254150277234,9.857443614034723,9.370213558980089,2099,2098.5911753888945,14686,5266,8.709540696700092,3336.0,19100,3336.0,0.5504731373929157,0.4126690903040101,3336.0,0.2967384579169728,2399.0
23,E09000004,E09000007,2470,Bexley,00AD,Camden,00AG,2470,0,66,1941,32,3,308,19,80,9,9,3,112000,18300,101000,19800,0.0,22882.83883278804,675,11.626254150277234,9.893437216682628,10.038142512656703,869,869.499805487619,14686,28270,8.709540696700092,818.0,19800,818.0,0.1350415154209775,0.4126690903040101,818.0,0.2967384579169728,588.0
24,E09000005,E09000001,4145,Brent,00AE,City of London,00AA,4145,0,3327,372,90,3,246,16,38,37,13,3,127000,16500,12000,38300,0.0,13119.797207727812,4501,11.751942365440726,10.553205175168737,9.481877605650562,7034,7034.214256883365,18508,40725,8.248203019764258,6810.0,38300,6810.0,1.7823195374606189,0.20643796357006303,6810.0,0.20297064384848293,6695.0
25,E09000005,E09000002,40,Brent,00AE,Barking and Dagenham,00AB,40,0,10,6,0,0,24,0,0,0,0,0,127000,16500,56000,16200,0.0,27856.17716671398,422,11.751942365440726,9.692766521220477,10.23481002207943,591,590.6116267532705,18508,674,8.248203019764258,222.0,25000,538.0,0.14072519870514058,0.20643796357006303,222.0,0.20297064384848293,529.0
26,E09000005,E09000003,6124,Brent,00AE,Barnet,00AC,6124,0,334,160,1622,7,3224,307,57,71,326,16,127000,16500,159000,18700,0.0,7543.283645196364,6648,11.751942365440726,9.836278802842678,8.928412862911225,4707,4707.241099025859,18508,8122,8.248203019764258,5357.0,18700,5357.0,1.4019865787424026,0.20643796357006303,5357.0,0.20297064384848293,5267.0
27,E09000005,E09000004,28,Brent,00AE,Bexley,00AD,28,0,5,6,4,0,10,0,3,0,0,0,127000,16500,112000,18300,0.0,30474.823420251963,399,11.751942365440726,9.814656338829511,10.324656160083363,636,636.1528615245436,18508,3389,8.248203019764258,233.0,18300,233.0,0.06096062752512711,0.20643796357006303,233.0,0.20297064384848293,229.0
28,E09000005,E09000006,66,Brent,00AE,Bromley,00AF,66,0,24,15,5,0,16,3,0,0,0,3,127000,16500,164000,19100,0.0,30382.587606589994,419,11.751942365440726,9.857443614034723,10.321624947196403,686,685.5254919597153,18508,5266,8.248203019764258,256.0,19100,256.0,0.06698005301147232,0.20643796357006303,256.0,0.20297064384848293,252.0
29,E09000005,E09000007,8105,Brent,00AE,Camden,00AG,8105,0,3661,994,915,19,1707,178,105,205,311,10,127000,16500,101000,19800,0.0,7774.499806421515,6627,11.751942365440726,9.893437216682628,8.958604401398715,4957,4956.72797133057,18508,28270,8.248203019764258,5631.0,19800,5631.0,1.4738488543057946,0.20643796357006303,5631.0,0.20297064384848293,5537.0
