Station,betweenness_centrality,closeness_centrality,infomation_centrality
Finchley Central,0.024799499,4.42E-05,0.280435493
Eastcote,0.024749373,3.66E-05,0.409573849
Island Gardens,0.024749373,5.52E-05,0.183554977
Prince Regent,0.024749373,5.37E-05,0.299758586
Perivale,0.024749373,4.26E-05,0.436100116
Wood Green,0.024749373,5.24E-05,0.40335825
Hounslow Central,0.024749373,3.72E-05,0.232540549
Headstone Lane,0.024749373,3.56E-05,0.265640653
Parsons Green,0.024749373,5.85E-05,0.376015212
Golders Green,0.024749373,5.10E-05,0.33268059
Balham,0.024749373,5.13E-05,0.285464964
Stamford Hill,0.024548872,5.73E-05,0.549860372
Stoke Newington,0.024411028,5.69E-05,0.515713287
Upper Holloway,0.024385965,5.79E-05,0.530000754
Shepherd's Bush Market,0.024235589,5.85E-05,0.396885736
Sudbury Town,0.024235589,4.03E-05,0.436866212
Redbridge,0.024210526,4.54E-05,0.433460543
Goldhawk Road,0.0239599,5.85E-05,0.488271251
Dagenham Heathway,0.023834586,3.90E-05,0.42071819
Leicester Square,0.023759398,7.83E-05,0.581173398
Walthamstow Central,0.023233083,5.22E-05,0.548926457
Bayswater,0.021528822,6.77E-05,0.563433237
Sudbury Hill,0.021077694,3.86E-05,0.435901858
Walthamstow Queens Road,0.020789474,5.00E-05,0.542074618
Crouch Hill,0.020451128,5.49E-05,0.525345213
Ruislip Manor,0.019849624,3.52E-05,0.358584637
Rickmansworth,0.019849624,2.76E-05,0.315865836
Cutty Sark,0.019849624,5.29E-05,0.168401621
Royal Albert,0.019849624,5.13E-05,0.26482174
West Silvertown,0.019849624,5.50E-05,0.554371525
Greenford,0.019849624,3.99E-05,0.394014722
Buckhurst Hill,0.019849624,3.85E-05,0.386057662
Bounds Green,0.019849624,4.87E-05,0.365108354
Hounslow West,0.019849624,3.53E-05,0.219073358
Hatch End,0.019849624,3.43E-05,0.243567578
Putney Bridge,0.019849624,5.54E-05,0.32758386
Brent Cross,0.019849624,4.75E-05,0.306376589
Tooting Bec,0.019849624,4.89E-05,0.256145707
South Harrow,0.019761905,3.80E-05,0.440479934
Gants Hill,0.019373434,4.27E-05,0.403507731
Dagenham East,0.019160401,3.73E-05,0.401681325
Kensington,0.018421053,6.28E-05,0.6182612
All Saints,0.018120301,6.23E-05,0.460437583
Shoreditch High Street,0.018007519,6.90E-05,0.565935505
Dalston Junction,0.017631579,6.83E-05,0.550308851
Leyton Midland Road,0.017506266,4.75E-05,0.518192705
Clapton,0.016842105,5.64E-05,0.524708223
Harringay Green Lanes,0.016729323,5.17E-05,0.538237712
Haggerston,0.016215539,6.71E-05,0.512606993
Hoxton,0.016177945,6.70E-05,0.52312972
Covent Garden,0.015864662,7.81E-05,0.511791016
South Tottenham,0.015639098,5.04E-05,0.561021406
Russell Square,0.015513784,7.78E-05,0.597121818
Cannon Street,0.015313283,7.62E-05,0.439710677
Queens Road Peckham,0.015313283,5.76E-05,0.497412604
Leytonstone High Road,0.015175439,4.63E-05,0.499935628
Imperial Wharf,0.015125313,5.88E-05,0.544333856
Ruislip,0.014924812,3.44E-05,0.296944256
Chorleywood,0.014924812,2.52E-05,0.305197875
Greenwich,0.014924812,5.12E-05,0.152475873
Beckton Park,0.014924812,4.96E-05,0.229041866
Pontoon Dock,0.014924812,5.28E-05,0.430357012
Gidea Park,0.014924812,3.30E-05,0.354239336
Kingsbury,0.014924812,4.25E-05,0.596703422
Northolt,0.014924812,3.73E-05,0.363095041
Loughton,0.014924812,3.60E-05,0.356582207
Arnos Grove,0.014924812,4.57E-05,0.33012986
Hatton Cross,0.014924812,3.22E-05,0.21254589
Southbury,0.014924812,4.03E-05,0.336750364
Carpenders Park,0.014924812,3.17E-05,0.234384833
Penge West,0.014924812,4.21E-05,0.279066234
East Putney,0.014924812,5.24E-05,0.292062795
Hendon Central,0.014924812,4.51E-05,0.276959678
Tooting Broadway,0.014924812,4.65E-05,0.234212035
West Finchley,0.014924812,4.20E-05,0.25749047
Langdon Park,0.014837093,6.11E-05,0.431764349
Temple,0.014837093,7.64E-05,0.503417467
Acton Central,0.01481203,5.20E-05,0.603457562
Newbury Park,0.014598997,3.90E-05,0.389637035
South Acton,0.014586466,5.16E-05,0.553603703
Elm Park,0.014486216,3.45E-05,0.394041223
St James Street,0.014172932,5.23E-05,0.523614732
