Station,degree centrality,betweenness centrality,closeness_centrality,infomation_centrality,harmonic_closeness
Anerley,0.005,0.009974937,0.055509297807382736,0.000207072,26.741178499292182
Ickenham,0.005,0.009974937,0.054503338329472684,0.000223543,37.70470972552086
South Ruislip,0.005,0.009974937,0.053633681952266025,0.000226993,26.532618435094324
Harold Wood,0.005,0.009974937,0.052903055151434994,0.000233985,48.77671142926582
Queensbury,0.005,0.009974937,0.079776625,0.000351562,60.245875710117446
Wood Street,0.005,0.009974937,0.072780204,0.000372012,44.04411684638347
London City Airport,0.005,0.009974937,0.072111051,0.000324729,33.74669690304071
Southfields,0.005,0.009974937,0.061012813,0.000254665,58.207373614742004
Cyprus,0.005,0.009974937,0.059630292,0.000235822,52.48226319
Turkey Street,0.005,0.009974937,0.059400059,0.000230377,20.871760462573384
Colliers Wood,0.005,0.009974937,0.056633159,0.000203279,31.510412854546452
Woodside Park,0.005,0.009974937,0.056401579,0.000195442,42.03583286679888
Deptford Bridge,0.005,0.009974937,0.052756529,0.000199346,37.08828275494613
Bushey,0.005,0.009974937,0.046339203,0.000163111,62.571216509892935
Chancery Lane,0.005,0.009710317,0.10484927916120576,0.000515226,24.31934817205778
Emerson Park,0.005,0.009540518,0.056132473,0.000281818,45.102397857187036
Ladbroke Grove,0.005,0.009508618,0.077190274,0.000395892,48.18247454
South Tottenham,0.005,0.009442864,0.076628352,0.000436534,30.748169378096073
Kentish Town West,0.005,0.009231206,0.086281277,0.000449663,34.47250203513908
Crouch Hill,0.005,0.009225276,0.07613247,0.000418338,43.88315314182101
Stamford Hill,0.005,0.009012472,0.084691933,0.000448361,47.08101130036136
Regent's Park,0.005,0.008802646,0.10443864229765012,0.000539693,40.63682222621026
Tottenham Court Road,0.01,0.008703465,0.10554089709762533,0.000562592,48.510637227671396
Bow Church,0.005,0.008287313,0.086805556,0.000445956,29.836561338931837
West Acton,0.005,0.008266917,0.069060773,0.000403282,54.60057563116379
Elm Park,0.005,0.008206976,0.055424692,0.000290919,35.33102324945815
Harringay Green Lanes,0.005,0.008206332,0.075301205,0.0004197,48.93377892168131
Chigwell,0.005,0.00768797,0.061909921064850645,0.000270534,57.24169423478242
Barkingside,0.005,0.007437343,0.061718870544669034,0.000269908,27.13993097403471
Dalston Junction,0.005,0.007295933,0.092980009,0.000466554,48.05110831
Russell Square,0.005,0.007221849,0.10484927916120576,0.000536891,32.78504878489002
