Station,betweenness centrality,closeness_centrality,infomation_centrality
Ladbroke Grove,0.03156641604010025,6.174116771565035e-05,0.3993250551558967
Westbourne Park,0.035213032581453634,6.402194881698973e-05,0.43919299547850243
Royal Oak,0.03922305764411028,6.729400657349602e-05,0.49429284405950413
Paddington,0.07833333333333334,7.098854254729215e-05,0.588638137058891
Maryland,0.05771929824561404,5.982710464380791e-05,0.5589012699926018
Forest Gate,0.05305764411027569,5.577188336362569e-05,0.498910803862908
Manor Park,0.048395989974937347,5.1615620540412904e-05,0.46289237201074745
Ilford,0.043721804511278196,4.743420684676713e-05,0.43966595959819904
Seven Kings,0.039047619047619046,4.363063814238859e-05,0.42264663126445556
Goodmayes,0.0343734335839599,4.195155026405666e-05,0.3989403989906873
Chadwell Heath,0.029686716791979952,3.994385831787799e-05,0.38829140617590435
Romford,0.025827067669172935,3.4967860018846597e-05,0.38595911775449965
Gidea Park,0.014924812030075188,3.3044748312868706e-05,0.35423933593657336
Harold Wood,0.009974937343358397,3.0752068691628896e-05,0.3337962767108848
Brentwood,0.005,2.6491668946881813e-05,0.3256072942488412
Shenfield,0.0,2.4337847279316173e-05,0.3134474933038679
Kingsbury,0.014924812030075188,4.254330821430933e-05,0.596703422345682
Queensbury,0.009974937343358397,4.0427120396677326e-05,0.5017832083469518
Canons Park,0.005,3.785521062011795e-05,0.4489640519549402
Stanmore,0.0,3.5929197358261076e-05,0.39865887151817875
North Greenwich,0.0,5.94288603367734e-05,0.6180500612066467
Canada Water,0.09097744360902256,6.817520508699374e-05,0.6301026000099729
Bermondsey,0.05510025062656642,6.952681849831357e-05,0.6169455266162299
London Bridge,0.09214285714285715,7.560347628976216e-05,0.641562270546185
Southwark,0.04329573934837093,7.566903484202427e-05,0.5941625958584601
Waterloo,0.13021303258145364,7.675888049237171e-05,0.6909715843016525
Westminster,0.0893233082706767,7.599231271504372e-05,0.6650932043805686
Green Park,0.06299498746867169,7.695935975818083e-05,0.6880454420912525
Bond Street,0.05194235588972431,7.694509666918865e-05,0.6726451664824257
St. John's Wood,0.0037343358395989976,6.865380785517969e-05,0.6187474573736733
Swiss Cottage,0.0010025062656641604,6.616535713382982e-05,0.5666472935416375
Neasden,0.05299498746867168,5.328160449514319e-05,0.5975554108313306
Dollis Hill,0.057155388471177945,5.520216365468412e-05,0.5229086619727662
Willesden Green,0.06131578947368421,5.854648460874691e-05,0.5151408304616493
Kilburn,0.06546365914786968,6.211249881568615e-05,0.534667888253741
West Hampstead,0.10796992481203008,6.553318867420058e-05,0.6037894934321634
Brixton,0.0,5.8101425710202114e-05,0.4733546659078553
Stockwell,0.05086466165413534,6.398554058089701e-05,0.5373113546983048
Vauxhall,0.02486215538847118,6.479655185019882e-05,0.535397687547916
Pimlico,0.027706766917293235,6.778603886580352e-05,0.5767888756755658
Victoria,0.11575187969924812,7.433460011382393e-05,0.6385039187743669
