mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
538,860,12.321,73.527,17.931,16.817,7.467,1.3330001,DLR
538,861,1.7080001,21.021,6.657,5.369,1.917,0.389,DLR
538,862,4.689,11.4470005,10.11,11.44,3.355,0.964,DLR
538,864,4.507,38.043,11.531,5.625,0.675,0.05,DLR
538,865,1.704,15.414,14.748,11.309,1.287,0.836,DLR
538,866,3.417,4.431,5.925,3.591,0.0,0.0,DLR
538,867,0.0,0.531,1.7,2.576,0.691,0.0,DLR
538,879,0.368,3.117,10.243,2.611,1.833,0.0,DLR
538,882,0.791,3.761,4.037,4.053,0.522,0.269,DLR
538,883,2.8240001,6.96,6.865,6.873,1.589,1.373,DLR
538,884,92.443,557.535,376.789,245.753,76.249,17.241,DLR
538,886,0.0,3.614,5.043,3.533,2.272,0.757,DLR
538,887,0.0,0.837,1.503,0.782,0.559,0.0,DLR
538,888,0.0,1.635,1.577,0.281,0.188,0.0,DLR
538,889,0.815,6.415,4.219,0.83599997,1.045,0.0,DLR
538,893,0.0,3.233,3.051,1.116,0.216,0.0,DLR
538,894,0.0,1.299,1.92,0.888,0.543,0.667,DLR
538,895,0.206,1.781,3.2680001,1.732,0.614,0.3,DLR
538,897,0.0,2.905,1.367,1.566,0.0,0.315,DLR
538,928,0.076,0.483,0.644,0.215,0.056,0.0,DLR
538,940,1.555,4.91,6.477,4.796,1.738,0.537,DLR
559,504,3.767,26.131,24.789,16.106,1.363,2.4029999,DLR
559,513,38.293,195.231,79.574,82.739,8.911,3.302,DLR
559,523,1.95,39.685,6.2730002,4.735,2.399,1.121,DLR
559,533,3.99,18.343,19.616,9.133,1.844,0.64,DLR
559,538,0.277,3.206,2.89,1.138,0.672,0.0,DLR
559,573,13.596,28.604,43.854,45.213,15.542,10.779,DLR
559,719,13.227,129.421,120.623,186.51,39.894,7.862,DLR
559,749,0.0,17.752,13.776,5.051,0.612,0.0,DLR
559,750,0.38,4.077,2.215,1.184,0.431,0.36,DLR
559,757,11.591,58.282,53.273,125.725,16.985,16.092001,DLR
559,842,1.362,22.14,10.916,10.806,0.249,0.0,DLR
559,850,0.0,0.862,1.302,1.271,0.0,0.0,DLR
559,851,0.29,3.482,1.338,1.6340001,0.0,0.0,DLR
559,853,0.0,0.0,3.375,3.343,0.352,0.0,DLR
559,854,0.90999997,1.972,5.862,0.617,0.0,0.0,DLR
559,855,1.114,10.081,0.926,0.0,0.0,0.0,DLR
559,858,6.152,21.527,10.957,16.874,3.296,1.375,DLR
559,859,0.354,3.09,0.813,0.756,0.0,0.0,DLR
559,860,1.774,34.416,16.232,17.679,4.923,0.474,DLR
559,861,2.215,7.789,2.505,1.843,0.197,0.0,DLR
559,862,2.804,5.443,8.916,9.043,1.421,0.07,DLR
559,864,3.891,13.453,6.731,2.195,0.118,0.0,DLR
559,865,1.9760001,8.692,6.576,9.291,1.138,0.767,DLR
559,866,0.0,1.227,4.1679997,3.092,0.0,0.0,DLR
559,867,0.56,1.865,0.514,5.096,0.463,0.0,DLR
559,879,2.271,1.725,6.573,3.007,0.393,0.0,DLR
559,882,0.366,4.742,1.779,2.437,0.0,0.317,DLR
559,883,0.574,4.572,6.254,3.124,0.496,0.422,DLR
559,884,72.766,229.374,234.322,158.154,48.696,12.98,DLR
559,886,0.0,0.492,2.065,1.355,0.739,0.044,DLR
559,887,0.0,0.446,0.749,0.722,0.0,0.0,DLR
559,889,0.61300004,8.217,5.359,3.529,0.508,0.0,DLR
559,890,0.0,0.18900001,1.121,0.997,0.64,0.433,DLR
559,891,0.0,3.614,0.592,0.40600002,0.0,0.0,DLR
559,893,0.0,1.028,2.388,1.483,0.153,0.0,DLR
559,894,0.153,0.49,2.6430001,2.296,0.359,0.026,DLR
559,895,0.744,2.901,3.034,2.906,1.663,0.0,DLR
559,897,0.0,0.276,1.275,1.028,1.733,0.0,DLR
559,928,0.463,0.83599997,0.508,0.174,0.132,0.0,DLR
559,940,0.844,1.2590001,4.802,4.936,0.667,0.57699996,DLR
573,504,147.712,314.978,165.61101,140.621,33.101,7.311,DLR
573,513,546.003,1340.632,606.653,654.201,119.908,36.738,DLR
573,523,86.915,210.624,167.555,192.128,69.141,19.621,DLR
573,533,197.471,305.109,193.339,216.433,66.69,14.581,DLR
573,538,41.06,184.139,71.625,65.727,35.274,9.024,DLR
573,559,22.902,81.282,45.099,37.598,11.291,14.179,DLR
573,719,742.603,1642.494,1155.602,1170.484,399.077,92.455,DLR
573,749,81.474,255.394,73.742,74.514,25.545,11.85,DLR
573,750,13.806,20.849,13.818,37.216,6.6480002,2.811,DLR
573,757,349.192,608.326,347.211,680.758,278.005,65.996,DLR
573,842,46.294,82.79,29.935,43.25,9.714,1.764,DLR
573,850,0.962,7.173,9.617,6.191,2.266,0.26999998,DLR
573,851,35.484,20.567,11.358,12.823,5.653,3.872,DLR
573,853,30.827,46.651,14.155,10.473001,0.74300003,0.985,DLR
573,854,0.546,1.41,0.18599999,0.592,0.326,0.272,DLR
573,855,8.0789995,21.387,1.439,0.974,0.7,0.039,DLR
573,856,0.155,0.0,0.0,0.0,0.0,0.0,DLR
573,857,0.0,0.0,0.0,0.268,0.099,0.0,DLR
573,858,180.438,235.418,150.659,174.563,58.246998,19.361,DLR
573,859,8.256,9.037,2.3,1.388,0.269,0.671,DLR
573,860,141.255,366.867,133.213,126.372,26.34,8.098,DLR
573,861,5.982,25.227,0.296,1.768,0.378,0.122999996,DLR
573,862,134.373,123.692,61.339,90.87,14.426,3.2450001,DLR
573,864,43.572,127.63,59.29,25.504,2.273,0.77,DLR
573,865,48.435,76.994,63.045,56.124,22.839,8.068,DLR
573,866,4.252,6.107,10.394,4.248,0.40600002,0.0,DLR
573,867,14.96,10.826,4.713,4.832,1.03,1.61,DLR
573,882,30.935,36.294,18.172,11.893,4.252,0.824,DLR
573,883,53.589,108.88,32.652,31.727,11.872,4.752,DLR
573,884,897.6,1425.555,1868.396,1237.67,494.026,160.852,DLR
573,886,10.508,20.642,20.719,27.991,8.685,1.17,DLR
573,887,4.847,12.675,15.714,17.105,3.695,1.126,DLR
573,888,8.109,17.774,17.657999,25.785,4.462,5.912,DLR
573,889,55.668,85.942,20.547,47.975,19.102,8.839,DLR
573,890,15.523,29.114,10.604,8.604,4.88,0.89,DLR
573,891,21.338,3.2419999,2.053,5.571,1.858,0.0,DLR
573,893,2.121,27.681,41.449,11.235,1.747,0.493,DLR
573,894,3.726,8.368,6.526,4.442,2.7,1.472,DLR
573,895,4.54,9.649,17.243,26.408,9.659,1.525,DLR
719,504,72.177,486.51,484.74,947.198,514.473,230.732,DLR
719,523,44.703,93.184,95.201004,149.226,64.251,17.846,DLR
719,533,71.76,170.229,233.615,211.121,59.166,13.976,DLR
719,538,58.24,221.509,119.82,156.594,126.14,32.486,DLR
719,559,64.57,213.494,104.577,104.059,63.359,17.49,DLR
719,573,512.204,1106.306,886.753,1495.356,750.513,232.274,DLR
719,749,12.47,119.362,94.9,155.147,82.751,54.209,DLR
719,750,62.577,223.011,246.078,332.483,154.541,63.9,DLR
719,757,30.975,33.181,129.619,75.877,39.811,26.532999,DLR
719,842,270.102,1509.043,367.459,403.139,79.151,25.599,DLR
719,850,30.986,157.528,262.227,302.233,140.925,69.879,DLR
719,851,47.595,177.812,263.03,323.362,131.531,46.998,DLR
719,853,250.26,626.026,667.877,620.106,188.483,68.998,DLR
719,854,27.666,140.164,85.632,84.072,26.93,6.326,DLR
719,855,48.788002,216.163,20.329,19.591,5.141,1.821,DLR
719,856,17.287,64.801,35.255,31.717001,15.365,3.565,DLR
719,857,2.295,16.708,27.765,43.954,13.657,4.645,DLR
719,858,45.166,145.617,270.693,182.015,68.394,27.97,DLR
719,859,20.886,222.678,101.064,179.715,104.421,44.905,DLR
719,860,12.89,13.126,21.072,0.0,7.748,0.802,DLR
719,861,102.662,696.037,159.646,80.274,25.006,7.75,DLR
719,862,26.277,44.603,90.375,0.994,23.069,4.065,DLR
719,864,2.1890001,2.256,9.014,0.053,0.235,0.157,DLR
719,865,9.858,15.303,42.941,0.967,13.723,2.049,DLR
719,866,54.644,184.272,121.247,72.687,20.263,9.639,DLR
719,867,54.192,242.58,322.774,522.857,256.147,89.022,DLR
719,879,44.134,243.314,305.718,98.045,28.209,7.32,DLR
719,882,2.292,6.137,12.159,0.168,0.418,0.058000002,DLR
719,883,7.656,24.903,16.75,0.199,0.285,0.038000003,DLR
719,884,8.814,11.601,41.096,28.41,26.924,8.814,DLR
719,886,4.776,1.225,1.911,0.0,0.274,0.26,DLR
719,887,2.732,0.651,1.875,0.0,0.034,0.0050000004,DLR
719,888,1.299,0.35300002,1.191,0.0,0.165,0.151,DLR
719,889,194.146,430.904,237.666,279.533,99.835,44.711,DLR
719,890,1.36,1.557,1.38,0.0,0.067,0.037,DLR
719,891,1.805,0.215,0.0,0.0,0.0,0.0,DLR
719,893,0.683,3.141,1.719,0.0,0.04,0.114,DLR
719,894,3.206,0.319,1.091,0.0,0.12,0.431,DLR
719,895,1.888,0.381,1.428,0.0,0.198,0.087,DLR
719,897,45.434,66.795,62.713,77.071,28.67,7.547,DLR
719,898,31.573,24.966,28.371,40.717,16.494,4.839,DLR
719,928,10.137,29.212,16.53,13.81,6.132,1.69,DLR
719,940,124.975,292.105,226.689,529.485,110.944,22.172,DLR
749,504,4.033,28.808,47.754,37.766,21.297,2.463,DLR
749,523,0.95,7.887,11.7,10.601,3.447,1.515,DLR
749,533,4.616,17.862,20.045,14.589,1.41,0.0,DLR
749,538,5.741,7.491,12.084,7.811,11.788,2.178,DLR
749,559,2.083,8.266,15.962,8.565,4.214,1.423,DLR
749,573,24.909,45.325,79.246,165.675,42.172,29.558,DLR
