mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
6881,6872,0.0,4.567,40.128,20.126,24.373,8.335,2.261,0.0,EZL
6881,6874,0.0,5.928,30.693,69.463,95.561,40.427002,5.41,0.0,EZL
6881,6876,0.0,5.297,72.117004,80.443,84.588,31.947,3.919,0.0,EZL
6881,6877,0.0,3.8170002,33.889,33.712,35.296,19.995,2.722,0.999,EZL
6881,6878,0.0,0.816,39.121998,78.926,58.479,35.051,4.801,0.0,EZL
6881,6879,0.0,14.801,46.011,44.833,53.866,20.77,2.888,0.001,EZL
6881,6883,0.0,4.86,19.096,50.837,29.951,13.139,1.401,0.0,EZL
6881,6886,0.0,17.77,182.688,200.316,152.458,48.406,6.031,0.0,EZL
6881,6888,0.0,2.951,7.686,4.272,3.507,0.736,0.287,0.0,EZL
6881,6893,0.0,1.721,26.726,58.561,58.837,40.165,6.647,0.001,EZL
6881,6965,0.0,528.217,1684.214,610.85,274.822,81.362,34.889,0.0,EZL
6881,6970,0.0,17.745,40.302,68.235,41.828,14.593,2.708,0.0,EZL
6883,719,0.0,353.258,875.982,685.298,340.266,113.381996,20.66,0.0,EZL
6883,6872,0.0,3.105,15.375,6.353,4.27,2.215,1.048,0.0,EZL
6883,6874,0.0,3.948,29.219,23.152,37.54,24.435,1.574,0.0,EZL
6883,6876,0.0,0.396,6.087,18.72,13.734,6.762,0.774,0.0,EZL
6883,6877,0.0,1.442,14.312,9.192,10.647,8.39,0.649,0.0,EZL
6883,6878,0.0,1.04,29.624,28.442,22.598,16.985,1.752,0.0,EZL
6883,6879,0.0,9.745,20.063,14.928,13.943,7.508,0.79,0.0,EZL
6883,6881,0.0,0.368,18.364,46.676,37.385,17.233,1.6110001,0.0,EZL
6883,6886,0.0,9.677,76.425,60.809002,41.876,18.182,3.226,0.0,EZL
6883,6888,0.0,1.204,2.832,1.908,0.728,0.299,0.092,0.0,EZL
6883,6893,0.0,2.668,39.536,18.359,32.396,19.066,4.002,0.0,EZL
6883,6965,0.0,200.15201,624.797,214.74901,87.393,25.756,13.330999,0.0,EZL
6883,6970,0.0,1.917,16.527,18.327,12.873,4.734,1.5469999,0.0,EZL
6886,719,7.795,569.773,2031.563,964.677,1066.548,178.305,37.82,0.0,EZL
6886,6872,0.0,7.255,135.063,63.432,81.609,39.684,9.024,0.486,EZL
6886,6874,0.0,5.776,31.038,80.09,90.248,30.216,5.735,0.0,EZL
6886,6876,0.0,16.094,40.65,40.362,58.775,13.534,2.5839999,0.0,EZL
6886,6877,0.0,0.22199999,8.599,38.399,29.444,16.335001,3.576,0.491,EZL
6886,6878,0.0,2.811,26.23,61.172,49.045002,22.785,3.458,0.0,EZL
6886,6879,0.0,10.722,32.313,95.491,65.965996,31.359,8.306,0.012,EZL
6886,6881,0.0,23.535,114.073,171.665,167.739,47.996998,7.637,0.0,EZL
6886,6883,0.0,14.059,27.793,58.867,77.169,21.967,3.678,0.0,EZL
6886,6888,0.0,2.637,58.581,13.416,35.365,9.409,2.5049999,0.004,EZL
6886,6893,0.0,1.47,36.125,29.487,46.05,17.864,4.501,0.0,EZL
6886,6965,1.8210001,635.392,1714.466,467.566,349.00198,66.615,14.896,0.0,EZL
6886,6970,0.0,3.824,29.01,34.276,32.182,8.373,1.166,0.0,EZL
6888,719,2.908,12.28,29.86,2.31,1.816,0.487,0.184,0.0,EZL
6888,6872,0.0,1.507,86.254,131.625,438.526,279.515,45.623,0.0,EZL
6888,6874,0.0,0.168,2.99,5.447,8.629,2.325,1.115,0.0,EZL
6888,6876,0.002,0.164,1.259,0.42,0.48000002,0.316,0.0,0.0,EZL
6888,6877,0.0,0.30200002,11.084,26.306,10.0199995,4.615,1.285,0.0,EZL
6888,6878,0.001,0.698,5.929,1.825,2.759,0.49199998,0.098,0.0,EZL
6888,6879,0.0,2.95,68.006,118.589,193.992,164.565,35.652,0.0,EZL
6888,6881,0.0,1.902,4.088,5.638,4.462,2.915,0.815,0.0,EZL
6888,6883,0.002,0.044,0.886,1.405,0.946,0.44300002,0.0,0.0,EZL
6888,6886,0.0,4.903,38.187,31.397,21.398,2.6859999,1.4350001,0.0,EZL
6888,6893,0.0,0.09,3.559,0.91,3.474,0.915,0.259,0.0,EZL
6888,6965,1.081,0.594,0.0,16.995,9.118,1.19,0.338,0.0,EZL
6888,6970,0.01,0.56,1.417,0.387,0.127,0.047000002,0.243,0.0,EZL
6893,719,0.0,646.399,1887.65,512.018,437.437,130.436,35.766,0.0,EZL
6893,6872,0.0,1.402,22.312,3.342,3.293,2.07,0.0,0.0,EZL
6893,6874,0.0,0.66899997,9.288,13.001,12.823,4.2730002,1.066,0.0,EZL
6893,6876,0.0,6.52,60.373,14.537,19.883,13.584,1.442,0.0,EZL
6893,6877,0.0,2.609,15.972,3.8,5.429,3.8439999,0.746,0.0,EZL
6893,6878,0.0,0.0,4.268,5.342,6.889,2.978,0.664,0.0,EZL
6893,6879,0.0,6.405,14.805,4.534,10.805,3.83,2.203,0.0,EZL
6893,6881,0.0,8.032001,58.266,79.182,43.242,18.639,2.717,0.0,EZL
6893,6883,0.0,14.794,45.693,28.216,19.425,13.153,1.224,0.0,EZL
6893,6886,0.0,5.267,71.501,39.369,35.190998,12.497,1.648,0.0,EZL
6893,6888,0.0,0.232,6.482,1.919,2.654,0.465,0.0,0.0,EZL
6893,6965,0.0,252.73601,1088.758,130.816,97.801,35.215,7.7790003,0.0,EZL
6893,6970,0.0,24.501,21.32,13.417,5.37,3.53,0.82,0.0,EZL
6965,719,0.0,76.133,396.448,889.13,3501.579,933.55,314.181,0.0,EZL
6965,6872,0.0,3.403,35.702,140.61101,583.438,253.518,95.101,0.0,EZL
6965,6874,0.0,22.077,74.994,320.67902,1477.367,470.591,157.5,0.0,EZL
6965,6876,0.0,27.844,74.613,314.965,936.13,394.72202,173.69499,0.0,EZL
6965,6877,0.0,9.51,25.962,247.929,1563.399,528.865,174.504,0.0,EZL
6965,6878,0.0,32.21,89.99,270.985,1187.456,437.171,129.732,0.0,EZL
6965,6879,0.0,25.133,47.815,213.454,1044.214,360.043,124.193,0.0,EZL
6965,6881,0.0,56.587,190.441,688.145,2250.368,791.702,217.035,0.0,EZL
6965,6883,0.0,21.968,45.155,218.691,747.939,271.402,113.288,0.0,EZL
6965,6886,0.0,42.963,250.737,573.89,3114.73,650.856,210.733,0.0,EZL
6965,6888,0.0,1.407,6.993,34.595,0.0,39.968,33.619,0.0,EZL
6965,6893,0.0,9.498,55.957,208.764,1066.451,409.992,132.04001,0.0,EZL
6965,6970,0.0,43.100002,40.425,149.096,440.434,190.483,102.548996,0.0,EZL
6970,719,0.0,132.907,329.341,357.068,214.633,71.127,15.839,0.0,EZL
6970,6872,0.0,2.1139998,7.4760003,4.524,4.169,1.909,0.408,0.0,EZL
6970,6874,0.0,2.88,9.709,22.09,30.867,12.409,1.868,0.0,EZL
6970,6876,0.0,0.17300001,6.606,18.061,9.142,7.454,1.545,0.0,EZL
6970,6877,0.0,0.4,6.59,6.474,7.1150002,3.608,0.463,0.0,EZL
6970,6878,0.0,1.102,27.924,21.107,25.684,7.217,2.461,0.0,EZL
6970,6879,0.0,3.494,12.552,5.652,8.426,3.98,0.564,0.0,EZL
6970,6881,0.0,9.015,34.687,66.303,56.141,19.161,4.395,0.0,EZL
6970,6883,0.0,3.822,9.841,16.437,22.699,9.662,1.4449999,0.0,EZL
6970,6886,0.0,7.937,41.3,33.929,28.728,10.497,1.3840001,0.0,EZL
6970,6888,0.0,0.412,0.291,0.377,0.009,0.0,0.069000006,0.0,EZL
6970,6893,0.0,0.352,16.9,9.032,21.285,7.291,0.986,0.0,EZL
6970,6965,0.0,104.684,382.372,162.457,69.01,26.181,6.828,0.0,EZL
7090,560,0.0,3.302,25.752,26.833,18.744,11.183,1.596,0.0,EZL
7090,3087,0.0,7.562,114.471,122.967,65.333,35.531,8.091001,0.0,EZL
7090,3186,0.0,0.44799998,2.501,9.675,8.132,3.523,0.46600002,0.0,EZL
7090,3187,0.0,0.115,1.5139999,13.835,3.181,4.329,1.3169999,0.0,EZL
7090,3188,0.0,0.918,4.8980002,5.173,4.501,2.5809999,0.86800003,0.0,EZL
7090,3191,0.0,0.072,2.385,3.4819999,4.69,3.115,1.2179999,0.0,EZL
7090,7091,0.0,39.444,94.957,254.551,121.269005,105.765,45.943,0.0,EZL
7091,560,0.0,2.954,29.702,25.504,21.537,35.718998,6.814,0.0,EZL
7091,3087,0.0,87.786995,229.993,361.725,230.849,130.347,29.098,0.0,EZL
7091,3186,0.0,2.687,7.251,18.013,9.276,11.769,1.972,0.0,EZL
7091,3187,0.0,1.173,7.3059998,24.95,6.71,9.339,8.538,0.0,EZL
7091,3188,0.0,0.189,10.093,5.289,4.304,8.339,1.15,0.0,EZL
7091,3191,0.0,0.681,4.139,3.98,10.371,5.103,3.602,0.0,EZL
7091,7090,0.0,98.307,165.877,244.871,138.17,76.931,19.979,0.0,EZL
