mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,8,mode
514,7402,5.538,183.743,127.531,148.347,58.715,9.178,0.0,LO
514,7403,18.552,80.103,54.259,76.374,23.465,3.057,0.0,LO
514,7404,8.895,207.465,125.663,153.162,50.902,16.318,0.0,LO
514,7406,8.748,85.699,48.867,43.411,10.613,7.312,0.0,LO
514,7407,283.275,614.565,365.369,261.756,110.845,31.113,0.0,LO
514,7408,4.533,82.238,60.773,93.183,27.402,4.903,0.0,LO
514,7467,1.629,39.277,41.559,49.223,20.848,2.271,0.0,LO
514,9586,0.075,0.0,0.017,0.008,0.08,0.0,0.0,LO
514,9587,0.024,0.29500002,0.427,0.223,0.142,0.0,0.0,LO
522,514,54.868,214.819,230.095,418.339,145.147,41.613,0.0,LO
522,591,0.174,0.705,0.469,0.113000005,0.04,0.012,0.0,LO
522,596,0.177,0.0,0.034,0.030000001,0.014,0.006,0.0,LO
522,618,0.127,0.26200002,0.0,0.066,0.0,0.0,0.0,LO
522,621,0.021,0.162,0.312,0.086,0.0,0.0,0.0,LO
522,659,0.009,0.0,0.003,0.022,0.014,0.003,0.0,LO
522,686,0.0,0.296,0.368,0.151,0.067,0.0,0.0,LO
522,717,0.179,0.0,0.011,0.092,0.046,0.0,0.0,LO
522,751,0.318,0.0,0.047,0.042000003,0.024,0.0,0.0,LO
522,766,0.591,0.935,0.416,0.467,0.056,0.058000002,0.0,LO
522,1404,0.115,1.465,0.47,0.731,0.091,0.102,0.0,LO
522,1409,3.24,101.509,15.03,10.456,4.042,1.069,0.0,LO
522,1413,0.671,7.77,2.045,0.488,0.36699998,0.033999998,0.0,LO
522,1421,0.804,4.03,0.884,1.872,0.161,0.109000005,0.0,LO
522,1437,0.18599999,1.146,0.472,0.721,0.143,0.386,0.0,LO
522,1438,0.272,1.0910001,0.279,0.196,0.03,0.062,0.0,LO
522,1440,0.83,0.775,0.0,0.0,0.0,0.319,0.0,LO
522,1445,1.1800001,3.153,0.938,0.35300002,0.14,0.012,0.0,LO
522,1448,0.0,2.1990001,0.893,0.456,0.589,0.192,0.0,LO
522,1449,0.077,0.136,0.04,0.104,0.014,0.01,0.0,LO
522,1452,0.869,0.686,0.148,0.219,0.054,0.048,0.0,LO
522,1524,10.38,130.418,51.579,35.064,16.564,7.951,0.0,LO
522,7401,0.915,46.067,37.553,39.542,14.707,5.68,0.0,LO
522,7402,0.424,76.548004,99.269,281.589,132.988,33.044,0.0,LO
522,7403,4.29,72.62,74.251,187.679,66.226,15.423,0.0,LO
